,RMSE,MSE,MAE,Rounded RMSE,Rounded MSE,Rounded MAE,Accuracy
0,0.8475321157007476,0.7183106871441853,0.6740540908684469,0.9011841285826907,0.8121328336093436,0.6351956768064151,0.44579447398239347
1,0.8485405465263699,0.7200210590992705,0.6745529831520798,0.9016192567033069,0.8129172840582236,0.6353177024317964,0.4464743310380894
2,0.8465316351597503,0.7166158093262405,0.6728880675286015,0.9031936325652373,0.8157587379063889,0.6377407827072257,0.4438943606728842
3,0.8511264985231938,0.7244163164883523,0.6740506371219063,0.9030199099282568,0.8154449577268369,0.6329643510851565,0.45016996426392397
4,0.8521591379847585,0.7261751964509268,0.6745399877414722,0.9061225835914135,0.8210581364943781,0.6346378453761005,0.450483744443476
5,0.8465167722580367,0.7165906457141646,0.6738448407171411,0.8986077341336726,0.8074958598448532,0.6343240651965484,0.4450100235335135
6,0.8460720919419534,0.7158379847630333,0.6704251273200182,0.897559568367215,0.8056131787675412,0.6283273773206659,0.4524535866817746
7,0.8465102627096662,0.7165796248727881,0.6703953575778318,0.9043220162494535,0.8177983090734768,0.6363985008280311,0.4460908219297481
8,0.8489597754817741,0.7207327003860644,0.6742593791102293,0.9041563911859906,0.817498779722474,0.6360958092183251,0.44669130465100065
9,0.8475024868818041,0.7182604652708425,0.6739493861548215,0.9024677755507605,0.8144480859075378,0.6371591939195315,0.4437277735164912
10,0.848301490728629,0.7196154191724142,0.6725814293538266,0.9032883545550626,0.8159298514747926,0.6353636427027404,0.44648211421797646
AVG,0.8481593467178804,0.719377809880753,0.6732310260587614,0.9023219410375508,0.8141905467805315,0.6348659043265942,0.44702477263011564
,,,,,,,
,,Predicted 1,Predicted 2,Predicted 3,Predicted 4,Predicted 5
AVG,True 1,0.3994389096828486,0.49062602566958463,0.09354690232859503,0.013423031071054968,0.0029651312479167967
,True 2,0.12310666826895215,0.5990447733796596,0.24188726288021714,0.03343521652438605,0.0025260789467850646
,True 3,0.020641752626942032,0.3041360224214112,0.44096248804309185,0.2114423599755414,0.022817376933013504
,True 4,0.0014241210502892747,0.04508637779665817,0.22675081927418378,0.5475259942549663,0.1792126876239026
,True 5,0.00033853531670971314,0.008430240642900716,0.07548862444051331,0.4994484138867911,0.41629418571308513
0,True 1,0.39481065918653574,0.49789621318373073,0.09186535764375876,0.010869565217391304,0.00455820476858345
,True 2,0.14191660570592537,0.5822970007315289,0.23482077542062912,0.03730797366495977,0.0036576444769568397
,True 3,0.021367521367521368,0.3170940170940171,0.439031339031339,0.2,0.022507122507122508
,True 4,0.0011570983533600355,0.043702714730752115,0.22777036048064087,0.5485536270582999,0.17881619937694704
,True 5,0.00039061482773886097,0.007708132600713523,0.07588344053540272,0.5007421681727038,0.41527564386344107
1,True 1,0.4072255349000351,0.4893019992984918,0.08523325149070501,0.014380918975797966,0.003858295334970186
,True 2,0.11695906432748537,0.5789473684210527,0.2646198830409357,0.038011695906432746,0.0014619883040935672
,True 3,0.025356125356125355,0.29772079772079774,0.4427350427350427,0.20968660968660968,0.0245014245014245
,True 4,0.0013351134846461949,0.046461949265687585,0.22429906542056074,0.5466844681797953,0.1812194036493102
,True 5,0.0002864508736751647,0.00723939480742689,0.07713340798416708,0.49964844665503505,0.41569229967969584
2,True 1,0.39354612416695894,0.49070501578393544,0.10277095755875132,0.011224131883549631,0.00175377060680463
,True 2,0.1286549707602339,0.5884502923976608,0.25219298245614036,0.02850877192982456,0.0021929824561403508
,True 3,0.020512820512820513,0.2928774928774929,0.45071225071225074,0.20683760683760682,0.02905982905982906
,True 4,0.0014241210502892747,0.04503782821539831,0.22785936804628393,0.547485536270583,0.1781931464174455
,True 5,0.00018228691961146845,0.008749772141350486,0.07450326814405875,0.5050128902893154,0.41155178250566393
3,True 1,0.41283760084180987,0.4805331462644686,0.08733777621887057,0.014731673097158891,0.004559803577692038
,True 2,0.11695906432748537,0.577485380116959,0.27266081871345027,0.03070175438596491,0.0021929824561403508
