author,date,score,review
Orbitgroover,7 years ago,5,"The scientists at University of California Davis. They tested a series of alleged extra virgin olive oils and except for boutique oils, this was the only one that was real. Remember the cover business Don Corleone was in? Olive oil import. Google the UCD test results. Sadly I didn't see this product at the store this week. I hope Costco didn't discontinue it. Costco is famous for doing that. "
Sally Sue,3 years ago,5,"One time a bunch of years ago I took the time to research olive oil and discovered that American olive oil is the best to get because imported olive oil can have anything in it, adulterants, but American olive oil has to be true to the label. I don't remember exactly my research, I think possibly other countries do put other stuff in their olive oil. Anyway I remember that American was the best quality and the Costco brand was the best price and quality there was. I don't actually remember my research but I remember that I picked Costco brand of all the brands in the whole wide world. "
FormerK,7 years ago,5,I have purchased this several times.  It is light is flavor. 
Lady Jet,7 years ago,5,I only buy this brand of Organic Olive Oil.  It is the BEST. 
David D,3 years ago,5,"We used this olive for cooking purposes and occasionally also used it for salads, and we've ordered it several times as well as purchased in-store. To our palette, it seems like a high-quality olive oil, but we're no experts. That said, we'd absolutely buy again. For shipping, Costco typically puts some extra tape around the cap to ensure it doesn't open. We've never had any issue, and the bottles are quite durable and so do not expect any future issues. (One other olive oil we ordered online was in a metal tin. While that olive oil didn't leak, the tin was definitely banged up, so we're likely sticking with the Kirkland olive oils in the plastic containers for all future shipping orders.) "
Lana,2 years ago,5,"Very happy with the Kirkland Organic Extra Virgin Olive Oil.  What I am NOT happy with is that the oil came in a large box with no packing material. How it came without being cracked is a mystery. At the same time I had ordered the Kirkland cat food with free shipping.  I was charged extra shipping cost for the oil due to a fast delivery per Costco however, it was delivered the same time as the cat food .  Why was I charged for the oil shipping?   Also, the cat food also did not have any packing material in the box.  It came with a busted bag with spilled out cat food.  What is going on??? "
Bonzo7,2 years ago,5,I can count on Costco to have the best quality olive oil 
Grace,2 years ago,5,"Like that it’s organic it has a good flavor glad that you have been adding more organic products in your warehouse.   One big issue on this product however the cap is not secure does not close properly, also the last order I made on line who ever packed the two bottle's this last time,  did not seal themselves  with a tape they usually do when it’s shipped out even though it was in a plastic bag I could feel that the oil had slipped through the cap.  I hope you bring it to someone’s attention in the packing department, they need to be careful and consistent.  As you know I buy this product all year round.  But certain items need more attention then others when shipping. BTW FedEx does a good job notifying me when my package is delivered, UPS use to not anymore. "
HJones,2 years ago,1,"Reluctant to assign a number review because the product is its usual 5 stars, but BOTH bottles arrived with the tops permanently crushed in. They weren’t leaking so I didn’t try to have them replaced (although they pour messily now). Apparently, they changed the way they’re packed: they used to wrap the tops in heavy tape. Now they don’t and since the box itself was crushed on one side the tops were smashed in. I’ve tried to in-crush the tops but they won’t budge. So…product = 5 stars, packaging = MINUS 5 stars! "
Mitch,3 years ago,5,"We received our shipped order of olive oil with the pouring head jammed down into  the bottle, so that we could not use the original bottle at all.  This wonderful product is a great staple in our house, so we use it practically every day. This is simply a Costco packaging problem. We have received this product by shipment before from Costco, with no damage. If this is a product that can't consistently be shipped successfully by Costco,  perhaps options need to be reconsidered. "
Holly,2 years ago,5,"This is my favorite olive oil. Great quality, price and bang for you buck! "
gran,6 years ago,5,This is the EVOO rated highest by the trustiest Consumers Lab . 
Patty,2 years ago,5,This is my favorite everyday cooking oil 
Dwest,2 years ago,5,"I love this organic olive oil, it adds wonderful flavor to many dishes. I couldn’t find it in my local Costco and I hope they are not discontinuing this product. It has been a must have ingredient in a lot of my dishes. I use it with garlic and onions as a base for my rice and beans, sautéed spinach, Italian gravy, my eggs in the morning and so much more. I stocked up for a few months, but I hope they do not discontinue this item I will be very disappointed. "
Barbara Uriarte,2 years ago,5,Excellent taste and price. 
OneMan,7 years ago,1,"Don't know what happened but my new bottle that expires in over a year is very bitter. Horrible, do not buy! "
TVwatcher24,3 years ago,5,I love this olive oil for all of my everyday cooking which really means I cook everyday! It is not too heavily flavored for most kitchen needs. I have olive oil from Italy from my brother in laws family which is very special and used only for salads or eating with crudite or drizzling on already cooked foods. The Kirkland EVOO is a real workhorse in my kitchen and a great value! 5 stars for sure! 
Joanne,4 years ago,5,"For several years, I have appreciated Kirkland Signature Extra Virgin Olive Oil and used it for everything where oil is needed.  Imagine my delight when I was shopping for more and discovered it now also comes in an organic form.  I choose to buy organic as much as possible and am so pleased to find this product  The taste, texture, and even the price could not be better!. "
